timestamp,round,speed_ratio,rust_avg_speed,torch_avg_speed,rust_final_loss,torch_final_loss
1773571731,round_0_baseline,0.214225203,113595.468750,530261.926200,1.000000000000e-12,1.293573097882e-06
1773572600,round_1_fused_path,0.339811530,110178.734375,324234.831753,9.966439620257e-07,1.293573097882e-06
1773573200,round_2_fast_grad,0.535923086,192229.656250,358688.888677,9.964538776330e-07,1.293573097882e-06
1773578964,round_3_tunable,0.280225156,134067.531250,478427.894686,9.964683158614e-07,1.293573097882e-06
1773579007,round_4_recheck,0.142632330,141610.265625,992834.270080,9.964683158614e-07,1.293573097882e-06
1773579196,round_5_profiled,0.550976742,458469.250000,832102.728175,9.964412583940e-07,1.293573097882e-06
1773579398,round_6_final,0.501368826,451662.187500,900858.138618,9.964412583940e-07,1.293573097882e-06
1773580660,round_7_auto_tensor,1.081078797,460836.156250,426274.345250,9.964412583940e-07,1.293573097882e-06
1773580684,round_8_profile_tensor,1.155889842,550707.062500,476435.593016,9.964538776330e-07,1.293573097882e-06
1773580743,round_9_profile_fused_grad,0.151849921,76189.203125,501740.156174,9.964956007025e-07,1.293573097882e-06
1773580768,round_10_profile_fused_linear,1.374420015,574033.343750,417654.965289,9.964538776330e-07,1.293573097882e-06
1773581964,round_7_auto_tensor,0.502731005,471848.000000,938569.523718,9.964412583940e-07,1.293573097882e-06
1773581985,round_8_profile_tensor,0.568762468,509214.218750,895302.076804,9.964538776330e-07,1.293573097882e-06
1773582026,round_9_profile_fused_grad,0.112727881,121615.476562,1078841.143356,9.964956007025e-07,1.293573097882e-06
1773582083,round_7_auto_tensor,0.499840293,476712.437500,953729.509593,9.964412583940e-07,1.293573097882e-06
1773582105,round_8_profile_tensor,0.355918330,379373.234375,1065899.680762,9.964538776330e-07,1.293573097882e-06
1773582143,round_9_profile_fused_grad,0.122639889,129425.078125,1055326.123392,9.964956007025e-07,1.293573097882e-06
1773582166,round_10_profile_fused_linear,0.533229476,431539.937500,809294.978301,9.964538776330e-07,1.293573097882e-06
1773582325,round_11_profile_fused_linear_repeat5,0.562265666,515813.656250,917384.231636,9.964538776330e-07,1.293573097882e-06
1773583158,round_12_fullstack_kernels,1.129075856,433541.218750,383978.823409,9.965436902348e-07,1.293573097882e-06
1773583969,round_13_split_bwd_thresholds,0.997620327,410637.125000,411616.637949,9.965436902348e-07,1.293573097882e-06
